Country,Region,Gini2020,HI12021,WP2020,SPFund,GDP2018,TotalSRank,GE Index,GE IndexSpace,GE IndexSchool
Australia,America,0.325,7.183,38928341,324,51663.36509,35,21.96369256,11.76183719,14.20505871
Austria,Europe,0.274,7.268,8917205,87,55454.68929,8,23.20529992,12.30941814,14.75379659
Belgium,Europe,0.262,6.834,11555997,331,51407.99834,8,21.29133803,11.32410992,13.20312241
Bulgaria,Europe,0.402,5.266,6927288,0,21960.36994,1,9.823146591,5.69911875,6.09281867
Canada,America,0.301,7.103,38005238,490,48130.25597,26,20.21684986,10.85733402,12.70974191
Chile,America,0.46,6.172,19116209,18,25222.52778,11,12.03386083,6.925321324,8.494179233
Costa Rica,America,0.497,7.069,5094114,0,17671.09535,3,9.494698257,5.746394583,7.352526323
Czech Republic,Europe,0.248,6.965,10698896,74,39743.59709,10,17.46184599,9.388050268,11.93514811
Denmark,Europe,0.263,7.62,5831404,53,55671.16527,6,23.52529052,12.46933163,15.27400908
Estonia,Europe,0.305,6.189,1331057,0,35973.77646,3,18.57373304,9.984093794,16.13095165
Finland,Europe,0.269,7.842,5530719,69,48416.93603,9,22.01201285,11.73147461,16.16761514
France,Europe,0.292,6.69,67391582,3952,45342.39574,38,18.95383235,10.30493436,11.73497611
Germany,Europe,0.289,7.155,83240525,2377,53074.54012,47,21.78667609,11.68828805,13.16335757
Greece,Europe,0.308,5.723,10715549,34,29592.15242,6,13.1394263,7.250931331,8.777096731
Hungary,Europe,0.286,5.992,9749763,29,31102.50275,7,13.94038495,7.633478836,9.590777482
Iceland,Europe,0.25,7.554,366425,0,57303.06078,0,22.2060221,11.78728378,11.78728378
Ireland,Europe,0.292,7.085,4994724,30,83203.39468,8,34.60867098,18.02551731,22.39294486
Israel,Middle East,0.348,7.157,9216900,98,39919.16965,7,17.4975425,9.551753067,11.62037428
Italy,Europe,0.33,6.483,59554023,1481,41830.42633,35,17.78243992,9.683024506,11.24545639
Japan,Asia,0.334,5.94,125836021,4214,42797.45852,41,17.64433193,9.681702327,10.45537739
Korea,Asia,0.345,0,51780579,679,40111.77576,30,16.58657809,8.785348136,10.34692395
Latvia,Europe,0.344,6.032,1901548,0,30304.8525,3,15.37496816,8.430756808,12.73347132
Lithuania,Europe,0.357,6.255,2794700,0,35461.3591,4,17.03964083,9.29095678,13.19444943
Luxembourg,Europe,0.305,7.324,632275,185,113337.4205,0,42.71292564,22.11116736,22.10612191
Mexico,America,0.418,6.317,128932753,0,19844.64567,13,9.113830707,5.414051717,5.689036503
Netherlands,Europe,0.296,7.464,17441139,167,56328.94114,13,23.32579526,12.41112036,14.43937717
Norway,Europe,0.261,7.392,5379475,191,65510.58527,5,26.89751052,14.14674162,16.67641998
Poland,Europe,0.281,6.166,37950802,73,31336.6035,16,13.48924394,7.410399244,8.55822234
Portugal,Europe,0.31,5.929,10305564,59,33415.4379,7,14.77104965,8.079629369,9.930505896
Romania,Europe,0.339,6.14,19286123,64,28206.35705,2,11.92871439,6.707757196,6.988834031
Russia,Commonwealth,0.317,5.477,144104080,3567,27588.12544,25,11.74235601,6.665900734,7.041761787
Slovenia,Europe,0.246,6.461,2100126,13,38048.78466,2,16.82581045,9.042455223,11.63934744
South Africa,Sub-Saharan Africa,0.618,4.956,59308690,60,13686.88236,8,7.358843557,4.749330869,5.115569463
Spain,Europe,0.32,6.491,47351567,399,39715.43906,27,16.94515581,9.21668245,10.7608994
Sweden,Europe,0.28,7.363,10353442,130,53208.88436,10,22.53898044,11.99012658,14.62075122
Switzerland,Europe,0.311,7.571,8636896,252,68060.94105,9,28.18279862,14.86764476,17.70270212
Turkey,Middle East,0.397,4.948,84339067,0,28068.85941,9,11.93342544,6.732985449,7.024018483
United Kingdom,Europe,0.366,7.064,67215293,1464,45973.5735,86,20.69764624,11.21558675,14.66512511
United States,America,0.395,6.951,329484123,54589,62794.58565,159,25.91724491,15.55013609,15.37745219